id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
5,2020,EN,FT,"Data Analyst",72000,USD,72000,US,100,US,L,0,3,3
14,2020,MI,FT,"Data Analyst",85000,USD,85000,US,100,US,L,1,3,3
15,2020,MI,FT,"Data Analyst",8000,USD,8000,PK,50,PK,L,1,3,3
34,2020,MI,FT,"Data Analyst",41000,EUR,46759,FR,50,FR,L,1,3,3
38,2020,EN,FT,"Data Analyst",10000,USD,10000,NG,100,NG,S,0,3,1
50,2020,EN,FT,"Data Analyst",450000,INR,6072,IN,0,IN,S,0,3,1
51,2020,EN,FT,"Data Analyst",91000,USD,91000,US,100,US,L,0,3,3
79,2021,EN,FT,"Data Analyst",80000,USD,80000,US,100,US,M,0,3,2
86,2021,EN,FT,"Data Analyst",50000,EUR,59102,FR,50,FR,M,0,3,2
89,2021,SE,FT,"Data Analyst",80000,USD,80000,BG,100,US,S,2,3,1
100,2021,MI,FT,"Data Analyst",75000,USD,75000,US,0,US,L,1,3,3
103,2021,MI,FT,"Data Analyst",62000,USD,62000,US,0,US,L,1,3,3
105,2021,MI,FT,"Data Analyst",37456,GBP,51519,GB,50,GB,L,1,3,3
118,2021,EN,FT,"Data Analyst",90000,USD,90000,US,100,US,S,0,3,1
122,2021,EN,FT,"Data Analyst",50000,USD,50000,US,100,US,M,0,3,2
124,2021,EN,PT,"Data Analyst",8760,EUR,10354,ES,50,ES,M,0,2,2
135,2021,MI,FT,"Data Analyst",90000,USD,90000,US,100,US,M,1,3,2
140,2021,MI,FT,"Data Analyst",135000,USD,135000,US,100,US,L,1,3,3
172,2021,EN,FT,"Data Analyst",60000,USD,60000,US,100,US,S,0,3,1
229,2021,SE,FT,"Data Analyst",90000,CAD,71786,CA,100,CA,M,2,3,2
233,2021,SE,FT,"Data Analyst",200000,USD,200000,US,100,US,L,2,3,3
241,2021,MI,FT,"Data Analyst",80000,USD,80000,US,100,US,L,1,3,3
254,2021,MI,FT,"Data Analyst",93000,USD,93000,US,100,US,L,1,3,3
261,2021,SE,FT,"Data Analyst",54000,EUR,63831,DE,50,DE,L,2,3,3
290,2022,SE,FT,"Data Analyst",155000,USD,155000,US,100,US,M,2,3,2
291,2022,SE,FT,"Data Analyst",120600,USD,120600,US,100,US,M,2,3,2
296,2022,SE,FT,"Data Analyst",102100,USD,102100,US,100,US,M,2,3,2
297,2022,SE,FT,"Data Analyst",84900,USD,84900,US,100,US,M,2,3,2
305,2022,SE,FT,"Data Analyst",99000,USD,99000,US,0,US,M,2,3,2
306,2022,SE,FT,"Data Analyst",116000,USD,116000,US,0,US,M,2,3,2
307,2022,MI,FT,"Data Analyst",106260,USD,106260,US,0,US,M,1,3,2
308,2022,MI,FT,"Data Analyst",126500,USD,126500,US,0,US,M,1,3,2
318,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M,2,3,2
325,2022,SE,FT,"Data Analyst",124190,USD,124190,US,100,US,M,2,3,2
326,2022,EX,FT,"Data Analyst",130000,USD,130000,US,100,US,M,3,3,2
327,2022,EX,FT,"Data Analyst",110000,USD,110000,US,100,US,M,3,3,2
328,2022,SE,FT,"Data Analyst",170000,USD,170000,US,100,US,M,2,3,2
329,2022,MI,FT,"Data Analyst",115500,USD,115500,US,100,US,M,1,3,2
330,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M,2,3,2
331,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M,2,3,2
332,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M,2,3,2
