id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
0,2020,MI,FT,"Data Scientist",70000,EUR,79833,DE,0,DE,L,1,3,3
3,2020,MI,FT,"Product Data Analyst",20000,USD,20000,HN,0,HN,S,1,3,1
5,2020,EN,FT,"Data Analyst",72000,USD,72000,US,100,US,L,0,3,3
7,2020,MI,FT,"Data Scientist",11000000,HUF,35735,HU,50,HU,L,1,3,3
8,2020,MI,FT,"Business Data Analyst",135000,USD,135000,US,100,US,L,1,3,3
10,2020,EN,FT,"Data Scientist",45000,EUR,51321,FR,0,FR,S,0,3,1
11,2020,MI,FT,"Data Scientist",3000000,INR,40481,IN,0,IN,L,1,3,3
12,2020,EN,FT,"Data Scientist",35000,EUR,39916,FR,0,FR,M,0,3,2
13,2020,MI,FT,"Lead Data Analyst",87000,USD,87000,US,100,US,L,1,3,3
14,2020,MI,FT,"Data Analyst",85000,USD,85000,US,100,US,L,1,3,3
15,2020,MI,FT,"Data Analyst",8000,USD,8000,PK,50,PK,L,1,3,3
21,2020,MI,FT,"Product Data Analyst",450000,INR,6072,IN,100,IN,L,1,3,3
23,2020,MI,FT,"BI Data Analyst",98000,USD,98000,US,0,US,M,1,3,2
28,2020,EN,CT,"Business Data Analyst",100000,USD,100000,US,100,US,L,0,1,3
32,2020,SE,FT,"Data Scientist",60000,EUR,68428,GR,100,US,L,2,3,3
34,2020,MI,FT,"Data Analyst",41000,EUR,46759,FR,50,FR,L,1,3,3
38,2020,EN,FT,"Data Analyst",10000,USD,10000,NG,100,NG,S,0,3,1
40,2020,MI,FT,"Data Scientist",45760,USD,45760,PH,100,US,S,1,3,1
46,2020,MI,FT,"Data Scientist",60000,GBP,76958,GB,100,GB,S,1,3,1
48,2020,MI,FT,"Data Scientist",105000,USD,105000,US,100,US,L,1,3,3
50,2020,EN,FT,"Data Analyst",450000,INR,6072,IN,0,IN,S,0,3,1
51,2020,EN,FT,"Data Analyst",91000,USD,91000,US,100,US,L,0,3,3
56,2020,MI,FT,"Data Scientist",34000,EUR,38776,ES,100,ES,M,1,3,2
57,2020,MI,FT,"Data Scientist",118000,USD,118000,US,100,US,M,1,3,2
58,2020,SE,FT,"Data Scientist",120000,USD,120000,US,50,US,L,2,3,3
59,2020,MI,FT,"Data Scientist",138350,USD,138350,US,100,US,M,1,3,2
62,2020,EN,PT,"Data Scientist",19000,EUR,21669,IT,50,IT,S,0,2,1
63,2020,SE,FT,"Data Scientist",412000,USD,412000,US,100,US,L,2,3,3
65,2020,EN,FT,"Data Scientist",55000,EUR,62726,DE,50,DE,S,0,3,1
