id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
104,2021,MI,FT,"Data Scientist",73000,USD,73000,US,0,US,L,1,3,3
116,2021,MI,FT,"Data Scientist",50000,USD,50000,NG,100,NG,L,1,3,3
127,2021,MI,FT,"Data Scientist",700000,INR,9466,IN,0,IN,S,1,3,1
143,2021,MI,FT,"Data Scientist",82500,USD,82500,US,100,US,S,1,3,1
151,2021,MI,FT,"Data Scientist",150000,USD,150000,US,100,US,M,1,3,2
152,2021,MI,FT,"Data Scientist",95000,CAD,75774,CA,100,CA,L,1,3,3
156,2021,MI,FT,"Data Scientist",160000,SGD,119059,SG,100,IL,M,1,3,2
176,2021,MI,FT,"Data Scientist",58000,MXN,2859,MX,0,MX,S,1,3,1
177,2021,MI,FT,"Data Scientist",30400000,CLP,40038,CL,100,CL,L,1,3,3
179,2021,MI,FT,"Data Scientist",420000,INR,5679,IN,100,US,S,1,3,1
181,2021,MI,FT,"Data Scientist",76760,EUR,90734,DE,50,DE,L,1,3,3
195,2021,MI,FT,"Data Scientist",147000,USD,147000,US,50,US,L,1,3,3
200,2021,MI,FT,"Data Scientist",52000,EUR,61467,DE,50,AT,M,1,3,2
202,2021,MI,FT,"Data Scientist",32000,EUR,37825,ES,100,ES,L,1,3,3
204,2021,MI,FT,"Data Scientist",160000,USD,160000,US,100,US,L,1,3,3
205,2021,MI,FT,"Data Scientist",69600,BRL,12901,BR,0,BR,S,1,3,1
217,2021,MI,FT,"Data Scientist",76760,EUR,90734,DE,50,DE,L,1,3,3
221,2021,MI,FT,"Data Scientist",85000,GBP,116914,GB,50,GB,L,1,3,3
222,2021,MI,FT,"Data Scientist",2500000,INR,33808,IN,0,IN,M,1,3,2
223,2021,MI,FT,"Data Scientist",40900,GBP,56256,GB,50,GB,L,1,3,3
227,2021,MI,FT,"Data Scientist",75000,EUR,88654,DE,50,DE,L,1,3,3
237,2021,MI,FT,"Data Scientist",39600,EUR,46809,ES,100,ES,M,1,3,2
250,2021,MI,FT,"Data Scientist",115000,USD,115000,US,50,US,L,1,3,3
260,2021,MI,FT,"Data Scientist",130000,USD,130000,US,50,US,L,1,3,3
262,2021,MI,FT,"Data Scientist",1250000,INR,16904,IN,100,IN,S,1,3,1
264,2021,MI,FT,"Data Scientist",21600,EUR,25532,RS,100,DE,S,1,3,1
287,2021,MI,FT,"Data Scientist",109000,USD,109000,US,50,US,L,1,3,3
