id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
298,2022,SE,FT,"Data Scientist",136620,USD,136620,US,100,US,M,2,3,2
299,2022,SE,FT,"Data Scientist",99360,USD,99360,US,100,US,M,2,3,2
300,2022,SE,FT,"Data Scientist",90000,GBP,117789,GB,0,GB,M,2,3,2
301,2022,SE,FT,"Data Scientist",80000,GBP,104702,GB,0,GB,M,2,3,2
302,2022,SE,FT,"Data Scientist",146000,USD,146000,US,100,US,M,2,3,2
303,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M,2,3,2
315,2022,SE,FT,"Data Scientist",165220,USD,165220,US,100,US,M,2,3,2
317,2022,SE,FT,"Data Scientist",120160,USD,120160,US,100,US,M,2,3,2
323,2022,SE,FT,"Data Scientist",180000,USD,180000,US,0,US,L,2,3,3
324,2022,SE,FT,"Data Scientist",120000,USD,120000,US,0,US,L,2,3,3
347,2022,SE,FT,"Data Scientist",95550,USD,95550,US,0,US,M,2,3,2
352,2022,SE,FT,"Data Scientist",167000,USD,167000,US,100,US,M,2,3,2
353,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M,2,3,2
356,2022,SE,FT,"Data Scientist",150000,USD,150000,US,0,US,M,2,3,2
357,2022,SE,FT,"Data Scientist",211500,USD,211500,US,100,US,M,2,3,2
365,2022,SE,FT,"Data Scientist",138600,USD,138600,US,100,US,M,2,3,2
369,2022,SE,FT,"Data Scientist",170000,USD,170000,US,100,US,M,2,3,2
370,2022,SE,FT,"Data Scientist",123000,USD,123000,US,100,US,M,2,3,2
398,2022,SE,FT,"Data Scientist",215300,USD,215300,US,100,US,L,2,3,3
399,2022,SE,FT,"Data Scientist",158200,USD,158200,US,100,US,L,2,3,3
409,2022,SE,FT,"Data Scientist",180000,USD,180000,US,100,US,M,2,3,2
416,2022,SE,FT,"Data Scientist",260000,USD,260000,US,100,US,M,2,3,2
423,2022,SE,FT,"Data Scientist",180000,USD,180000,US,0,US,M,2,3,2
424,2022,SE,FT,"Data Scientist",80000,USD,80000,US,0,US,M,2,3,2
428,2022,SE,FT,"Data Scientist",140400,USD,140400,US,0,US,L,2,3,3
444,2022,SE,FT,"Data Scientist",215300,USD,215300,US,0,US,L,2,3,3
467,2022,SE,FT,"Data Scientist",104890,USD,104890,US,100,US,M,2,3,2
469,2022,SE,FT,"Data Scientist",140000,USD,140000,US,100,US,M,2,3,2
472,2022,SE,FT,"Data Scientist",220000,USD,220000,US,100,US,M,2,3,2
473,2022,SE,FT,"Data Scientist",140000,USD,140000,US,100,US,M,2,3,2
476,2022,SE,FT,"Data Scientist",185100,USD,185100,US,100,US,M,2,3,2
486,2022,SE,FT,"Data Scientist",230000,USD,230000,US,100,US,M,2,3,2
494,2022,SE,FT,"Data Scientist",100000,USD,100000,BR,100,US,M,2,3,2
497,2022,SE,FT,"Data Scientist",165000,USD,165000,US,100,US,M,2,3,2
550,2022,SE,FT,"Data Scientist",205300,USD,205300,US,0,US,L,2,3,3
551,2022,SE,FT,"Data Scientist",140400,USD,140400,US,0,US,L,2,3,3
552,2022,SE,FT,"Data Scientist",176000,USD,176000,US,100,US,M,2,3,2
553,2022,SE,FT,"Data Scientist",144000,USD,144000,US,100,US,M,2,3,2
558,2022,SE,FT,"Data Scientist",205300,USD,205300,US,0,US,M,2,3,2
559,2022,SE,FT,"Data Scientist",140400,USD,140400,US,0,US,M,2,3,2
569,2022,SE,FT,"Data Scientist",140000,USD,140000,US,100,US,M,2,3,2
570,2022,SE,FT,"Data Scientist",210000,USD,210000,US,100,US,M,2,3,2
571,2022,SE,FT,"Data Scientist",140000,USD,140000,US,100,US,M,2,3,2
574,2022,SE,FT,"Data Scientist",210000,USD,210000,US,100,US,M,2,3,2
575,2022,SE,FT,"Data Scientist",140000,USD,140000,US,100,US,M,2,3,2
576,2022,SE,FT,"Data Scientist",210000,USD,210000,US,100,US,M,2,3,2
587,2022,SE,FT,"Data Scientist",140000,USD,140000,US,100,US,M,2,3,2
592,2022,SE,FT,"Data Scientist",230000,USD,230000,US,100,US,M,2,3,2
593,2022,SE,FT,"Data Scientist",150000,USD,150000,US,100,US,M,2,3,2
596,2022,SE,FT,"Data Scientist",210000,USD,210000,US,100,US,M,2,3,2
